AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Recommendation & Personalization,Analytics on Student Data,"This system applies analytics and machine learning to analyze student performance data. It identifies trends and patterns, allowing educators to make data-driven decisions that improve teaching strategies, student engagement, and learning outcomes.",Retail AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,44,Retail Trade,High,1,Department
AI General AI Application,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Proof of Concept
AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Auto,Assistive,Image,Unstructured,Unstable,Medium,54,Retail Trade,High,100,Proof of Concept
AI Real Estate & Property Tech,Real Estate Recommender + Pricing ML,"This system applies machine learning to analyze real estate data and recommend properties based on user preferences, budget, and location. The model also predicts property prices by analyzing historical data, helping users make informed decisions about buying, renting, or selling properties.",Real Estate AI,Auto,Assistive,Numeric,Structured,Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI General AI Application,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Chatbots & Conversational AI,Neural Conversational Model,"This AI chatbot uses a neural conversational model based on deep learning techniques. It was trained on a large corpus of conversations, allowing it to engage in real-time interactions with users. The model is capable of understanding context, slang, and variations in speech patterns, but its behavior was affected by inappropriate user interactions.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Moderate,0.2,Department
